trip_id,user_id,pickup_point,dropoff_point,vehicle_type,distance_km,duration_min,fare_inr,payment_method,trip_date,user_rating
BLRTRIP100021,USER1499,BTM Layout,Rajajinagar,Mini,10.42,32.0,158.44,UPI,2024-03-19,4.0
BLRTRIP100022,USER2552,Yelahanka,MG Road,Mini,13.99,38.5,199.85,Cash,2024-04-21,3.0
BLRTRIP100023,USER8028,Malleshwaram,Jayanagar,Auto,9.09,39.1,112.53,UPI,2024-01-08,3.0
BLRTRIP100024,USER4442,Whitefield,Hennur,Mini,13.79,39.5,193.89,Wallet,2024-02-11,4.0
BLRTRIP100025,USER7684,Banashankari,Kengeri,Sedan,9.27,40.4,178.1,Cash,2024-04-14,5.0
BLRTRIP100026,USER1457,Bellandur,Ulsoor,Sedan,8.19,32.5,163.13,Cash,2024-03-10,3.0
BLRTRIP100027,USER2702,Marathahalli,Basavanagudi,Mini,13.49,52.1,188.5,Wallet,2024-03-31,
BLRTRIP100028,USER3607,BTM Layout,Basavanagudi,Mini,4.86,14.2,99.09,UPI,2024-02-16,5.0
BLRTRIP100029,USER3742,Electronic City,Koramangala,Sedan,12.24,44.9,204.4,Card,2024-02-24,
BLRTRIP100030,USER2202,Vijayanagar,Hennur,Sedan,13.39,33.9,219.49,Cash,2024-02-04,5.0
BLRTRIP100031,USER4140,Yelahanka,Whitefield,Mini,22.11,56.3,282.6,Cash,2024-02-06,5.0
BLRTRIP100032,USER8208,Banashankari,Whitefield,Sedan,19.98,74.0,304.96,Card,2024-04-17,
BLRTRIP100033,USER5002,Bellandur,Ulsoor,Mini,8.19,27.9,128.42,Cash,2024-03-30,
BLRTRIP100034,USER3662,Marathahalli,Hennur,Auto,10.43,44.1,121.39,UPI,2024-04-23,3.0
BLRTRIP100035,USER8162,Electronic City,Banashankari,Sedan,14.48,58.1,234.03,UPI,2024-03-18,4.0
BLRTRIP100036,USER9762,Marathahalli,Basavanagudi,SUV,13.49,36.0,293.68,UPI,2024-02-10,4.0
BLRTRIP100037,USER9632,Jayanagar,BTM Layout,Mini,2.0,5.1,60.3,Wallet,2024-02-16,5.0
BLRTRIP100038,USER8256,BTM Layout,Indiranagar,SUV,6.96,17.4,177.62,Wallet,2024-04-07,4.0
BLRTRIP100039,USER2554,Whitefield,Koramangala,Auto,14.12,59.8,167.02,Cash,2024-02-02,5.0
BLRTRIP100040,USER3465,MG Road,Hennur,Mini,7.89,25.5,122.03,Card,2024-03-24,5.0
BLRTRIP100041,USER2076,Whitefield,Electronic City,SUV,16.58,53.6,332.46,UPI,2024-03-06,3.0
BLRTRIP100042,USER2593,Indiranagar,Jayanagar,SUV,7.27,24.9,185.82,UPI,2024-04-21,3.0
BLRTRIP100043,USER9556,Koramangala,Bellandur,Mini,5.6,19.0,105.6,Card,2024-02-19,3.0
BLRTRIP100044,USER6756,Marathahalli,Ulsoor,Auto,8.92,30.0,110.97,Wallet,2024-04-22,
BLRTRIP100045,USER2446,Bellandur,Electronic City,Auto,10.82,30.3,125.17,Wallet,2024-04-19,4.0
BLRTRIP100046,USER2979,Yelahanka,Rajajinagar,SUV,13.03,43.8,276.59,UPI,2024-03-17,
BLRTRIP100047,USER1363,Ulsoor,Hebbal,Mini,6.52,20.7,109.42,Wallet,2024-02-27,
BLRTRIP100048,USER1915,Vijayanagar,Yelahanka,SUV,15.15,50.9,311.26,Wallet,2024-04-08,3.0
BLRTRIP100049,USER2871,Basavanagudi,Electronic City,Sedan,16.17,63.9,265.92,UPI,2024-04-01,5.0
BLRTRIP100050,USER4961,Hennur,Kengeri,SUV,21.56,54.0,417.69,Cash,2024-04-09,
BLRTRIP100051,USER4331,Banashankari,Koramangala,Sedan,5.86,24.9,127.98,UPI,2024-03-09,5.0
BLRTRIP100052,USER2760,Marathahalli,BTM Layout,Sedan,10.58,28.2,193.32,UPI,2024-04-20,
BLRTRIP100053,USER9675,BTM Layout,Hebbal,Auto,13.41,38.0,148.14,Card,2024-01-27,
BLRTRIP100054,USER3531,Banashankari,Whitefield,Auto,19.98,50.2,218.14,UPI,2024-01-19,5.0
BLRTRIP100055,USER5842,Rajajinagar,Vijayanagar,Mini,2.49,10.6,75.53,Cash,2024-04-17,4.0
BLRTRIP100056,USER1989,Indiranagar,Jayanagar,Auto,7.27,20.3,90.59,Cash,2024-04-03,5.0
BLRTRIP100057,USER8873,Bellandur,Jayanagar,Auto,9.01,31.2,117.34,UPI,2024-03-24,3.0
BLRTRIP100058,USER6663,Yelahanka,Kengeri,Auto,23.85,99.3,251.67,Cash,2024-02-09,4.0
BLRTRIP100059,USER4077,Jayanagar,Ulsoor,Auto,7.08,26.1,93.3,Wallet,2024-03-13,
BLRTRIP100060,USER2804,Yelahanka,Bellandur,Auto,20.31,56.8,221.95,Card,2024-04-28,4.0
BLRTRIP100061,USER4251,Kengeri,Koramangala,SUV,15.01,61.3,312.88,Cash,2024-01-27,4.0
BLRTRIP100062,USER3055,Koramangala,Banashankari,Sedan,5.86,17.1,124.34,Wallet,2024-02-13,5.0
BLRTRIP100063,USER8300,Malleshwaram,MG Road,Sedan,4.95,15.1,120.13,Card,2024-04-29,
BLRTRIP100064,USER3352,BTM Layout,Hennur,Sedan,13.74,42.8,228.85,UPI,2024-03-04,3.0
BLRTRIP100065,USER2366,Vijayanagar,MG Road,Mini,7.76,23.7,125.6,Wallet,2024-01-16,4.0
BLRTRIP100066,USER2776,Ulsoor,BTM Layout,Sedan,7.52,19.7,145.46,Wallet,2024-02-14,3.0
BLRTRIP100067,USER3617,Yelahanka,Banashankari,Auto,20.37,72.8,211.48,Cash,2024-02-08,4.0
BLRTRIP100068,USER5227,Malleshwaram,Hennur,Auto,8.68,25.0,110.1,Cash,2024-01-17,4.0
BLRTRIP100069,USER1250,Jayanagar,Marathahalli,Auto,11.85,42.1,132.34,UPI,2024-01-27,
BLRTRIP100070,USER7993,Kengeri,Electronic City,SUV,22.28,57.4,427.42,Wallet,2024-02-15,5.0
BLRTRIP100071,USER8060,MG Road,Bellandur,SUV,8.89,32.9,208.73,Wallet,2024-04-10,3.0
BLRTRIP100072,USER9468,Malleshwaram,BTM Layout,Mini,10.59,41.9,152.56,Cash,2024-03-26,4.0
BLRTRIP100073,USER7469,Indiranagar,Kengeri,Mini,17.78,54.3,235.5,Cash,2024-04-27,5.0
BLRTRIP100074,USER7560,Vijayanagar,Hennur,Sedan,13.39,53.5,230.67,Wallet,2024-03-30,
BLRTRIP100075,USER9724,Whitefield,Marathahalli,SUV,5.81,19.9,166.43,Wallet,2024-01-24,5.0
BLRTRIP100076,USER3267,Marathahalli,Koramangala,SUV,8.34,34.3,199.95,UPI,2024-03-08,5.0
BLRTRIP100077,USER8986,Indiranagar,Marathahalli,SUV,6.29,18.2,174.94,Cash,2024-01-03,5.0
BLRTRIP100078,USER8206,Indiranagar,Ulsoor,Mini,2.72,7.5,69.57,UPI,2024-04-30,
BLRTRIP100079,USER9053,Jayanagar,Electronic City,SUV,13.28,47.5,290.51,Card,2024-03-29,5.0
BLRTRIP100080,USER6269,BTM Layout,Rajajinagar,Sedan,10.42,43.5,193.19,Cash,2024-01-03,3.0
BLRTRIP100081,USER6035,Yelahanka,Basavanagudi,Auto,17.73,61.2,188.95,Card,2024-03-11,4.0
BLRTRIP100082,USER5306,Yelahanka,Electronic City,Auto,30.5,101.4,310.5,UPI,2024-02-13,5.0
BLRTRIP100083,USER3859,BTM Layout,Banashankari,Mini,4.02,14.9,90.06,Cash,2024-03-16,4.0
BLRTRIP100084,USER5416,Kengeri,Hennur,SUV,21.56,91.1,417.16,UPI,2024-03-27,3.0
BLRTRIP100085,USER3754,Koramangala,Vijayanagar,Auto,11.0,31.6,135.66,Wallet,2024-01-28,5.0
BLRTRIP100086,USER1480,Hebbal,Vijayanagar,Mini,8.89,38.4,145.47,Cash,2024-03-14,5.0
BLRTRIP100087,USER8567,Rajajinagar,Basavanagudi,Sedan,5.92,14.9,131.59,UPI,2024-04-27,4.0
BLRTRIP100088,USER4585,Banashankari,Kengeri,SUV,9.27,24.8,218.6,Card,2024-01-03,3.0
BLRTRIP100089,USER9550,Basavanagudi,Koramangala,Sedan,5.53,14.6,120.06,Wallet,2024-04-27,4.0
BLRTRIP100090,USER6778,Ulsoor,Hennur,Mini,6.35,21.0,110.48,Cash,2024-03-10,
BLRTRIP100091,USER3899,Electronic City,Jayanagar,Sedan,13.28,50.3,221.67,Card,2024-01-01,4.0
BLRTRIP100092,USER5222,Banashankari,Rajajinagar,Auto,8.39,23.5,111.57,Card,2024-02-07,3.0
BLRTRIP100093,USER8193,Whitefield,Rajajinagar,Sedan,21.53,65.7,335.42,UPI,2024-02-08,3.0
BLRTRIP100094,USER1452,Electronic City,Hebbal,SUV,23.89,86.3,452.98,Cash,2024-01-08,3.0
BLRTRIP100095,USER1986,Koramangala,Indiranagar,Auto,4.42,16.1,65.63,Wallet,2024-03-08,3.0
BLRTRIP100096,USER1945,Yelahanka,MG Road,Auto,13.99,48.6,164.74,UPI,2024-03-18,3.0
BLRTRIP100097,USER3991,Koramangala,Indiranagar,SUV,4.42,12.5,147.52,UPI,2024-01-16,4.0
BLRTRIP100098,USER4298,Hennur,Bellandur,Sedan,11.77,30.3,212.58,Card,2024-04-19,5.0
BLRTRIP100099,USER1423,Electronic City,Kengeri,SUV,22.28,64.4,435.04,Cash,2024-01-25,5.0
BLRTRIP100100,USER7219,Hennur,Whitefield,SUV,13.79,51.7,294.38,UPI,2024-03-03,5.0
BLRTRIP100101,USER1311,Hebbal,Koramangala,Sedan,11.75,38.0,207.5,UPI,2024-01-03,5.0
BLRTRIP100102,USER6310,Indiranagar,Koramangala,Auto,4.42,18.8,77.2,Cash,2024-02-06,
BLRTRIP100103,USER5230,Ulsoor,Jayanagar,Auto,7.08,28.6,95.84,UPI,2024-04-25,3.0
BLRTRIP100104,USER9290,Koramangala,Hebbal,Auto,11.75,46.1,139.58,Card,2024-02-08,5.0
BLRTRIP100105,USER3737,Koramangala,Whitefield,Mini,14.12,51.8,193.36,Cash,2024-01-17,3.0
BLRTRIP100106,USER5231,BTM Layout,Indiranagar,Mini,6.96,29.4,124.17,Card,2024-02-14,3.0
BLRTRIP100107,USER3252,Ulsoor,MG Road,Mini,1.79,7.7,63.77,UPI,2024-03-02,3.0
BLRTRIP100108,USER1316,Kengeri,Yelahanka,Auto,23.85,61.3,241.01,UPI,2024-01-10,4.0
BLRTRIP100109,USER9920,MG Road,Kengeri,SUV,14.41,50.8,304.3,Card,2024-03-14,5.0
BLRTRIP100110,USER8472,Indiranagar,Whitefield,Sedan,11.82,50.4,206.99,Cash,2024-03-06,
BLRTRIP100111,USER7541,Indiranagar,Basavanagudi,Sedan,7.91,27.8,152.73,Card,2024-04-14,4.0
BLRTRIP100112,USER2252,Vijayanagar,Indiranagar,SUV,11.66,51.3,257.37,UPI,2024-04-04,5.0
BLRTRIP100113,USER5097,Hebbal,Yelahanka,Mini,7.24,27.2,115.84,Cash,2024-03-03,4.0
BLRTRIP100114,USER3450,Bellandur,BTM Layout,Mini,7.47,21.5,125.42,Card,2024-03-17,3.0
BLRTRIP100115,USER6113,Bellandur,Kengeri,Auto,20.57,76.9,211.18,UPI,2024-03-29,4.0
BLRTRIP100116,USER4650,Banashankari,Koramangala,Auto,5.86,18.5,80.97,Cash,2024-02-27,4.0
BLRTRIP100117,USER4760,Indiranagar,Vijayanagar,Auto,11.66,33.4,137.52,Card,2024-04-15,
BLRTRIP100118,USER4488,BTM Layout,Rajajinagar,Mini,10.42,34.8,161.88,Cash,2024-03-05,4.0
BLRTRIP100119,USER7753,Marathahalli,MG Road,Mini,10.17,31.5,156.04,Wallet,2024-04-22,3.0
BLRTRIP100120,USER4909,Marathahalli,BTM Layout,SUV,10.58,47.0,245.64,Cash,2024-04-01,5.0
BLRTRIP100121,USER8608,Electronic City,Yelahanka,Sedan,30.5,127.9,450.36,Cash,2024-02-24,
BLRTRIP100122,USER5044,Marathahalli,Vijayanagar,Sedan,17.9,59.8,281.62,UPI,2024-04-05,3.0
BLRTRIP100123,USER1244,BTM Layout,Hennur,SUV,13.74,59.2,297.75,UPI,2024-01-26,5.0
BLRTRIP100124,USER4464,Yelahanka,Ulsoor,SUV,13.24,34.4,287.55,Cash,2024-02-21,3.0
BLRTRIP100125,USER7904,Banashankari,Basavanagudi,Mini,2.65,7.8,73.62,Wallet,2024-01-20,3.0
BLRTRIP100126,USER2877,Ulsoor,Hebbal,Mini,6.52,28.0,117.91,UPI,2024-01-17,4.0
BLRTRIP100127,USER4127,Hennur,Vijayanagar,Sedan,13.39,51.8,220.31,Wallet,2024-01-16,3.0
BLRTRIP100128,USER7772,Basavanagudi,Koramangala,Mini,5.53,20.8,109.3,Wallet,2024-02-23,3.0
BLRTRIP100129,USER9542,Ulsoor,Vijayanagar,SUV,9.28,33.7,216.44,UPI,2024-04-26,5.0
BLRTRIP100130,USER3997,Basavanagudi,BTM Layout,Sedan,4.86,12.9,111.92,Cash,2024-02-14,3.0
BLRTRIP100131,USER1962,Indiranagar,Basavanagudi,SUV,7.91,20.7,200.39,Card,2024-04-14,
BLRTRIP100132,USER7626,MG Road,Indiranagar,Mini,3.9,10.1,89.15,Card,2024-03-07,3.0
BLRTRIP100133,USER1942,Malleshwaram,Vijayanagar,SUV,4.75,17.9,145.4,Wallet,2024-03-13,3.0
BLRTRIP100134,USER5089,Banashankari,Vijayanagar,Sedan,7.94,26.1,153.76,Cash,2024-02-23,5.0
BLRTRIP100135,USER1150,BTM Layout,Basavanagudi,SUV,4.86,17.3,150.58,Wallet,2024-01-04,3.0
BLRTRIP100136,USER4709,Koramangala,Bellandur,SUV,5.6,24.2,159.74,Card,2024-02-13,3.0
BLRTRIP100137,USER5964,Marathahalli,Kengeri,Mini,23.27,69.5,300.18,Cash,2024-03-24,3.0
BLRTRIP100138,USER4515,Ulsoor,Vijayanagar,SUV,9.28,24.4,214.94,UPI,2024-03-18,4.0
BLRTRIP100139,USER1805,Electronic City,Koramangala,Sedan,12.24,41.5,208.03,Cash,2024-04-20,3.0
BLRTRIP100140,USER3866,Vijayanagar,Malleshwaram,Auto,4.75,16.9,71.34,UPI,2024-03-01,4.0
BLRTRIP100141,USER1541,Banashankari,Hebbal,SUV,13.15,51.4,286.17,Card,2024-02-26,4.0
BLRTRIP100142,USER9075,Electronic City,Basavanagudi,Mini,16.17,43.8,214.56,Wallet,2024-02-14,3.0
BLRTRIP100143,USER3484,Malleshwaram,Jayanagar,Sedan,9.09,37.5,164.77,Wallet,2024-04-15,4.0
BLRTRIP100144,USER4233,Bellandur,Rajajinagar,Sedan,14.78,51.1,246.0,UPI,2024-01-11,
BLRTRIP100145,USER2606,Hebbal,Banashankari,Auto,13.15,53.9,146.06,Card,2024-02-11,5.0
BLRTRIP100146,USER3877,Kengeri,Hebbal,SUV,17.58,75.5,358.89,Wallet,2024-03-23,4.0
BLRTRIP100147,USER1858,MG Road,Hebbal,SUV,6.9,26.9,188.97,Cash,2024-04-17,5.0
BLRTRIP100148,USER5915,Hennur,Ulsoor,Mini,6.35,16.9,116.02,Cash,2024-02-03,3.0
BLRTRIP100149,USER5673,Basavanagudi,Whitefield,Auto,19.29,76.5,211.15,Wallet,2024-01-14,5.0
BLRTRIP100150,USER6938,Banashankari,BTM Layout,Mini,4.02,11.3,81.65,Wallet,2024-01-02,5.0
BLRTRIP100151,USER5821,Basavanagudi,Whitefield,Auto,19.29,78.6,211.18,Cash,2024-01-18,3.0
BLRTRIP100152,USER2714,Kengeri,MG Road,Mini,14.41,36.6,200.43,Card,2024-02-14,3.0
BLRTRIP100153,USER6312,Rajajinagar,Malleshwaram,SUV,2.26,6.7,101.18,Cash,2024-02-23,3.0
BLRTRIP100154,USER9355,MG Road,Jayanagar,SUV,5.71,23.4,160.94,Card,2024-03-19,4.0
BLRTRIP100155,USER6814,MG Road,Basavanagudi,Sedan,4.93,17.5,114.8,UPI,2024-02-27,3.0
BLRTRIP100156,USER6298,Rajajinagar,Hennur,Auto,10.91,48.6,136.49,Cash,2024-01-31,3.0
BLRTRIP100157,USER2763,Basavanagudi,Electronic City,Mini,16.17,63.1,223.84,Cash,2024-02-06,5.0
BLRTRIP100158,USER1065,Whitefield,Yelahanka,Mini,22.11,81.5,284.65,Card,2024-04-14,5.0
BLRTRIP100159,USER9897,Hebbal,Marathahalli,SUV,14.31,59.9,295.16,Card,2024-03-21,4.0
BLRTRIP100160,USER7315,Indiranagar,Hebbal,Mini,8.93,34.1,145.16,Cash,2024-03-29,5.0
BLRTRIP100161,USER1481,Jayanagar,Whitefield,Auto,17.63,67.5,196.95,Card,2024-03-29,5.0
BLRTRIP100162,USER2273,Kengeri,Jayanagar,Sedan,11.56,31.9,199.19,Wallet,2024-04-26,
BLRTRIP100163,USER8182,Bellandur,Yelahanka,Sedan,20.31,56.6,317.64,Card,2024-04-05,
BLRTRIP100164,USER8406,Malleshwaram,Hebbal,Sedan,4.31,12.4,103.44,Card,2024-04-19,3.0
BLRTRIP100165,USER3608,Hennur,Ulsoor,Auto,6.35,27.0,87.71,Cash,2024-02-05,3.0
BLRTRIP100166,USER4273,Koramangala,Kengeri,Auto,15.01,67.0,166.65,Cash,2024-03-01,4.0
BLRTRIP100167,USER6134,Yelahanka,Marathahalli,SUV,19.17,58.6,378.14,Card,2024-01-09,5.0
BLRTRIP100168,USER5019,Ulsoor,Basavanagudi,Sedan,6.67,27.0,134.82,UPI,2024-03-06,5.0
BLRTRIP100169,USER3522,Vijayanagar,Marathahalli,Auto,17.9,69.3,198.98,Card,2024-03-12,3.0
BLRTRIP100170,USER7590,Bellandur,Banashankari,Mini,11.33,41.4,169.53,Cash,2024-02-03,4.0
BLRTRIP100171,USER9965,Jayanagar,Hebbal,Sedan,12.32,31.8,216.84,UPI,2024-03-27,
BLRTRIP100172,USER9198,Hennur,BTM Layout,Auto,13.74,37.6,157.82,Cash,2024-04-28,
BLRTRIP100173,USER2227,Indiranagar,Ulsoor,SUV,2.72,7.7,112.14,Card,2024-04-20,5.0
BLRTRIP100174,USER2058,Electronic City,Kengeri,Mini,22.28,66.8,283.61,Wallet,2024-02-10,3.0
BLRTRIP100175,USER5615,Whitefield,MG Road,Sedan,15.71,40.3,253.98,Card,2024-04-25,4.0
BLRTRIP100176,USER2185,BTM Layout,Kengeri,SUV,13.27,57.5,283.02,Wallet,2024-01-25,
BLRTRIP100177,USER7636,Bellandur,Koramangala,SUV,5.6,20.6,163.86,Cash,2024-02-15,
BLRTRIP100178,USER1788,Whitefield,Koramangala,SUV,14.12,51.0,294.62,UPI,2024-01-02,3.0
BLRTRIP100179,USER4904,Hennur,BTM Layout,SUV,13.74,46.7,296.51,Card,2024-02-05,5.0
BLRTRIP100180,USER6813,Koramangala,BTM Layout,Auto,2.59,9.6,54.18,UPI,2024-02-01,
BLRTRIP100181,USER1344,Malleshwaram,Kengeri,SUV,13.31,45.0,283.83,Card,2024-01-14,3.0
BLRTRIP100182,USER2436,Malleshwaram,Jayanagar,SUV,9.09,23.4,212.37,Wallet,2024-02-29,
BLRTRIP100183,USER8647,Rajajinagar,Malleshwaram,Sedan,2.26,7.0,88.94,Cash,2024-01-10,4.0
BLRTRIP100184,USER2017,Koramangala,Marathahalli,Mini,8.34,29.6,131.8,UPI,2024-03-11,
BLRTRIP100185,USER5762,MG Road,Electronic City,SUV,17.16,75.8,346.05,Cash,2024-01-23,3.0
BLRTRIP100186,USER7991,Koramangala,MG Road,Mini,4.92,14.4,97.78,Wallet,2024-01-04,
BLRTRIP100187,USER4957,Banashankari,BTM Layout,Auto,4.02,16.2,67.69,Wallet,2024-04-07,4.0
BLRTRIP100188,USER8569,Jayanagar,Electronic City,Auto,13.28,45.0,148.01,UPI,2024-01-14,5.0
BLRTRIP100189,USER7979,BTM Layout,Jayanagar,Mini,2.0,8.3,58.01,Cash,2024-02-01,5.0
BLRTRIP100190,USER5473,Jayanagar,Marathahalli,Sedan,11.85,43.0,204.09,Wallet,2024-03-17,3.0
BLRTRIP100191,USER9916,Vijayanagar,Koramangala,SUV,11.0,30.8,255.6,Card,2024-02-03,
BLRTRIP100192,USER6748,MG Road,Rajajinagar,SUV,5.97,25.5,173.8,UPI,2024-01-19,5.0
BLRTRIP100193,USER8032,Ulsoor,MG Road,Sedan,1.79,7.5,78.5,Cash,2024-04-13,5.0
BLRTRIP100194,USER8909,Banashankari,Basavanagudi,Mini,2.65,9.6,70.74,Card,2024-04-05,4.0
BLRTRIP100195,USER9540,MG Road,Hebbal,Mini,6.9,26.6,113.14,Wallet,2024-04-28,4.0
BLRTRIP100196,USER8358,Ulsoor,Whitefield,Auto,14.27,61.2,165.83,Card,2024-03-12,
BLRTRIP100197,USER9813,Hebbal,Ulsoor,Sedan,6.52,25.1,139.19,Wallet,2024-04-06,3.0
BLRTRIP100198,USER5648,Jayanagar,Vijayanagar,SUV,8.87,28.6,211.25,Wallet,2024-02-10,4.0
BLRTRIP100199,USER9269,Jayanagar,Rajajinagar,Auto,8.65,35.2,107.72,UPI,2024-01-11,5.0
BLRTRIP100200,USER9686,Malleshwaram,Bellandur,SUV,13.79,62.0,292.89,UPI,2024-03-17,3.0
BLRTRIP100201,USER9893,MG Road,Electronic City,Auto,17.16,62.2,189.4,UPI,2024-04-21,3.0
BLRTRIP100202,USER1523,Vijayanagar,Koramangala,SUV,11.0,44.9,242.24,Wallet,2024-01-27,
BLRTRIP100203,USER2091,Kengeri,Banashankari,Sedan,9.27,31.1,175.2,Wallet,2024-01-08,3.0
BLRTRIP100204,USER1627,Ulsoor,Hennur,SUV,6.35,16.4,180.18,Wallet,2024-01-23,4.0
BLRTRIP100205,USER6015,Jayanagar,Banashankari,Mini,2.34,8.0,63.37,Cash,2024-02-07,5.0
BLRTRIP100206,USER8202,Kengeri,Malleshwaram,Mini,13.31,58.2,181.6,Cash,2024-03-16,3.0
BLRTRIP100207,USER8024,Jayanagar,Electronic City,Mini,13.28,58.5,183.89,Wallet,2024-02-02,
BLRTRIP100208,USER3881,Whitefield,Jayanagar,Mini,17.63,48.9,232.77,Wallet,2024-01-13,3.0
BLRTRIP100209,USER7909,Vijayanagar,BTM Layout,SUV,10.82,40.5,244.87,Wallet,2024-02-16,
BLRTRIP100210,USER3748,Indiranagar,Yelahanka,SUV,15.14,53.0,312.78,UPI,2024-04-24,
BLRTRIP100211,USER5999,Whitefield,Koramangala,SUV,14.12,50.6,297.44,Card,2024-03-03,
BLRTRIP100212,USER2020,Yelahanka,Marathahalli,Mini,19.17,73.0,254.67,Cash,2024-01-27,3.0
BLRTRIP100213,USER5454,MG Road,Jayanagar,Mini,5.71,24.3,106.42,Card,2024-03-17,4.0
BLRTRIP100214,USER7090,Banashankari,Electronic City,Mini,14.48,54.9,197.37,Cash,2024-03-09,5.0
BLRTRIP100215,USER2857,Marathahalli,Basavanagudi,Auto,13.49,58.9,151.23,UPI,2024-02-11,5.0
BLRTRIP100216,USER6396,Basavanagudi,Marathahalli,Sedan,13.49,37.9,227.92,Cash,2024-03-20,5.0
BLRTRIP100217,USER3042,BTM Layout,Vijayanagar,Mini,10.82,27.3,157.98,Cash,2024-01-17,3.0
BLRTRIP100218,USER7743,Rajajinagar,Jayanagar,Mini,8.65,30.2,133.31,UPI,2024-02-01,5.0
BLRTRIP100219,USER2636,Basavanagudi,Yelahanka,Mini,17.73,64.2,238.92,Cash,2024-04-12,5.0
BLRTRIP100220,USER8402,Basavanagudi,Hennur,SUV,12.75,33.6,269.68,UPI,2024-03-04,3.0
BLRTRIP100221,USER9539,Indiranagar,Rajajinagar,Mini,9.82,26.3,152.01,UPI,2024-01-21,5.0
BLRTRIP100222,USER9505,Whitefield,Vijayanagar,Mini,23.47,92.9,306.9,UPI,2024-04-15,3.0
BLRTRIP100223,USER2234,Electronic City,Yelahanka,SUV,30.5,103.0,554.5,Card,2024-01-03,5.0
BLRTRIP100224,USER2540,Bellandur,Hennur,Mini,11.77,30.3,177.53,UPI,2024-03-01,
BLRTRIP100225,USER3737,Vijayanagar,Marathahalli,Mini,17.9,48.6,237.78,Wallet,2024-02-02,4.0
BLRTRIP100226,USER5996,BTM Layout,Vijayanagar,Sedan,10.82,47.4,197.72,UPI,2024-04-26,
BLRTRIP100227,USER9905,BTM Layout,Indiranagar,SUV,6.96,30.6,186.61,Wallet,2024-01-28,3.0
BLRTRIP100228,USER6172,Hennur,BTM Layout,SUV,13.74,58.7,292.23,Cash,2024-02-06,
BLRTRIP100229,USER3955,Kengeri,Marathahalli,Sedan,23.27,85.7,348.43,UPI,2024-03-28,3.0
BLRTRIP100230,USER2878,Basavanagudi,Marathahalli,Mini,13.49,38.9,191.23,UPI,2024-04-16,5.0
BLRTRIP100231,USER8490,BTM Layout,Bellandur,SUV,7.47,31.5,191.7,UPI,2024-01-30,3.0
BLRTRIP100232,USER8621,Electronic City,Hebbal,Sedan,23.89,84.1,360.73,Card,2024-01-15,3.0
BLRTRIP100233,USER2001,Bellandur,MG Road,Sedan,8.89,39.1,171.4,UPI,2024-03-28,5.0
BLRTRIP100234,USER3221,Yelahanka,Rajajinagar,Auto,13.03,37.8,151.99,Card,2024-02-03,3.0
